"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Armenia","ARM","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0827859947763","1.27843465001227","1.14196463057556","0.579104837215765","0.299085817091721","0.355090876812409","0.242226856039354","0.314012934280853","0.307456741722022","0.264441163732285","0.286565099972677","0.264474910196124","0.202286985843086","0.198877830423695","0.193799990564637","0.201662885653437","0.179277594769788","0.182796243321937","0.186804595831069","0.172535831327482","0.162302122250192","0.176481861254069","0.190617853161768","0.177588223145","0.170716142808001","0.161328567689991","0.152669070272879","0.150555565894079","0.152196642269584","0.153416745671828","0.18002233097931","","",
"American Samoa","ASM","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.202478738458953","0.201071695665759","0.196165437309356","0.189312219847077","0.180021534084105","0.196585711377605","0.199773869264126","0.198925197272748","0.202999025188055","0.204844344057402","0.201385748599354","0.217327493886037","0.223938500785364","0.227238084778157","0.218838548899256","0.210735359643601","0.197546595256436","0.190338424196276","0.194407362580991","0.233977339367641","0.26071173095692","0.260382452268487","0.26445450935997","0.264855856518809","0.261152834836889","0.26477849059324","0.259695082242075","0.253249162603513","0.240809598014944","0.233751646593036","0.268682156632906","","",
"Australia","AUS","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.499618104464535","0.503955353030335","0.508741405749427","0.497435120412675","0.490801294449508","0.489398921048488","0.487495619968348","0.481012087287368","0.489084300548484","0.474402570543225","0.464360618332976","0.463439204178052","0.455640163928047","0.441451670736996","0.439460153668777","0.429118184180698","0.423616005490293","0.419412231696253","0.408264858397681","0.407183831115414","0.400472826670549","0.389515402813935","0.376019097177208","0.35974195299196","0.342332260830186","0.340711165003696","0.339250165762162","0.333532241177393","0.323223221644061","0.315636352286609","0.303712435273618","","",
"Austria","AUT","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.202432206745806","0.209624863398074","0.189685204385014","0.189136157434391","0.186246606875178","0.190426591765991","0.19735626906395","0.1912873873578","0.185964523772226","0.17508542164967","0.170666724189253","0.180137617214608","0.181019979601467","0.192498788893889","0.190730961665287","0.187628328997884","0.176278109609007","0.163393024102291","0.15988093429782","0.151305476246907","0.161363263967251","0.152995867106083","0.144919736651907","0.14630842668796","0.137172360521218","0.138421135189601","0.136670275970578","0.138206091249484","0.129327981504317","0.130237983554881","0.127908163109728","","",
"Azerbaijan","AZE","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.978607620515792","0.959261600586596","1.51441249961451","1.48758593680809","1.29210607452532","1.41949638200855","1.17338069470106","1.08035567302726","0.982174893247876","0.901787344865745","0.860318710992296","0.746346501780184","0.676302016313055","0.66972679303328","0.607475841401158","0.503766894357359","0.380095644581505","0.275545281543777","0.274171540700524","0.210054619715439","0.19067370315538","0.213754673532118","0.23091602595562","0.224245358603166","0.227439360984681","0.22169803388019","0.232146794535164","0.22965400419592","0.231719600267184","0.245359735716785","0.247607387437185","","",
"Burundi","BDI","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0291109646377424","0.0339327792968241","0.0294381938614485","0.0328642671875795","0.0341730967934703","0.0382225987415325","0.042772196658414","0.044027720486248","0.0432018680050893","0.0438866823269106","0.0497187629242768","0.0389960467602757","0.0387391033421311","0.0307854160908841","0.0273762157842349","0.0273700277777101","0.0308992094483627","0.0299461194870004","0.0295388846872393","0.0283680853949628","0.0440401425587746","0.0470468744205142","0.0456581963199824","0.043778275491195","0.041813921817455","0.0437493910979055","0.053036954118751","0.0631724906502164","0.0781286636295339","0.0816427713053118","0.0820743513663604","","",
"Belgium","BEL","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.308870314703133","0.316205859247257","0.306982031824653","0.303834820594906","0.307149364295584","0.299126562819594","0.307799515528712","0.289563991979961","0.29075696803651","0.27164147775914","0.265897918903827","0.265394727380366","0.244426106004299","0.252067191427025","0.238842718299044","0.228500282988192","0.217032742473396","0.201248087247836","0.205770164679013","0.196610081380976","0.20446722865695","0.181523644646729","0.177927107386318","0.179483903062099","0.165369856005699","0.1705509650557","0.166780503754731","0.161361463375921","0.160121486561477","0.155718177274778","0.150886826143466","","",
"Benin","BEN","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0304831784483001","0.0242325737133962","0.0243195189509974","0.0233589781631715","0.0223424799298788","0.0227019358988233","0.0701296028227272","0.0842481871655593","0.0796069394436923","0.0833968073117515","0.0837187139109435","0.096809859808287","0.116092200701266","0.125933206756205","0.130620927839624","0.140707809139528","0.162063955608249","0.176115004132743","0.168708599809328","0.181284244998253","0.193924979073444","0.181609593919922","0.165530388430547","0.162475115025993","0.169413196271167","0.176708096120825","0.209305270345406","0.202104079953396","0.209466920624529","0.192697156140127","0.198088046319159","","",
"Burkina Faso","BFA","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0662645437852382","0.0613165954245443","0.0623169172595608","0.0614942843527252","0.0609102558978149","0.0588982696081884","0.0601187643302354","0.0645775494514643","0.0639213432728443","0.0631796275476785","0.0696843682273639","0.0638226063384675","0.0613394601294978","0.0610680660634173","0.0601130123035736","0.0561725658504893","0.0643094161285346","0.0742227636990278","0.0796079111780713","0.0781478205717046","0.0781918137540333","0.0770504029786805","0.0885835464220362","0.0916308293072277","0.089320706149666","0.109031101076986","0.108205301254748","0.11787432144486","0.12306260350174","0.127966267565912","0.12133283650991","","",
